"Jens Ackermann";"FDP";1975;"Sachsen-Anhalt";;"2. Juli 1975";"http://www.jens-ackermann.info";"jens.ackermann@bundestag.de"
"Christian Ahrendt";"FDP";1963;"Mecklenburg-Vorpommern";;"7. Mai 1963";"http://www.christian-ahrendt.de/";"christian.ahrendt@bundestag.de"
"Ilse Aigner";"CSU";1964;"Bayern";"Starnberg";"7. Dezember 1964";"http://www.ilse-aigner.de";"ilse.aigner@bundestag.de"
"Jan van Aken";"DIE LINKE";1961;"Hamburg";;"1. Mai 1961";"http://www.jan-van-aken.de";"jan.vanaken@bundestag.de"
"Agnes Alpers";"DIE LINKE";1961;"Bremen";;"29. Juni 1961";"http://www.agnes-alpers.de/";"agnes.alpers@bundestag.de"
"Peter Altmaier";"CDU";1958;"Saarland";"Saarlouis";"18. Juni 1958";"http://www.peteraltmaier.de/";"peter.altmaier@bundestag.de"
"Kerstin Andreae";"GRÜNE";1968;"Baden-Württemberg";;"21. Oktober 1968";"http://www.kerstin-andreae.de";"kerstin.andreae@bundestag.de"
"Ingrid Arndt-Brauer";"SPD";1961;"Nordrhein-Westfalen";;"20. März 1961";"http://www.arndt-brauer.de/";"ingrid.arndt-brauer@bundestag.de"
"Rainer Arnold";"SPD";1950;"Baden-Württemberg";;"21. Juni 1950";"http://www.rainer-arnold.de/";"rainer.arnold@bundestag.de"
"Christine Aschenberg-Dugnus";"FDP";1959;"Schleswig-Holstein";;"22. September 1959";"http://www.christine-aschenberg-dugnus.de";"christine.aschenberg-dugnus@bundestag.de"
"Peter Aumer";"CSU";1976;"Bayern";"Regensburg";"17. April 1976";"http://www.peter-aumer.de/";"peter.aumer@bundestag.de"
"Daniel Bahr";"FDP";1976;"Nordrhein-Westfalen";;"4. November 1976";"http://www.daniel-bahr.de/";"daniel.bahr@bundestag.de"
"Dorothee Bär";"CSU";1978;"Bayern";"Bad Kissingen";"19. April 1978";"http://www.dorothee-baer.de";"dorothee.baer@bundestag.de"
"Heinz-Joachim Barchmann";"SPD";1950;"Niedersachsen";;"17. November 1950";"http://www.achim-barchmann.de";"heinz-joachim.barchmann@bundestag.de"
"Thomas Bareiß";"CDU";1975;"Baden-Württemberg";"Zollernalb – Sigmaringen";"15. Februar 1975";"http://www.thomas-bareiss.de";"thomas.bareiß@bundestag.de"
"Doris Barnett";"SPD";1953;"Rheinland-Pfalz";;"22. Mai 1953";"http://www.doris-barnett.de/";"doris.barnett@bundestag.de"
"Hans-Peter Bartels";"SPD";1961;"Schleswig-Holstein";"Kiel";"7. Mai 1961";"http://www.hans-peter-bartels.de";"hans-peter.bartels@bundestag.de"
"Klaus Barthel";"SPD";1955;"Bayern";;"28. Dezember 1955";"http://www.barthel-spd.de/";"klaus.barthel@bundestag.de"
"Norbert Barthle";"CDU";1952;"Baden-Württemberg";"Backnang – Schwäbisch Gmünd";"1. Februar 1952";"http://www.barthle.de/";"norbert.barthle@bundestag.de"
"Sören Bartol";"SPD";1974;"Hessen";"Marburg";"4. September 1974";"http://www.bartol.de";"soeren.bartol@bundestag.de"
"Dietmar Bartsch";"DIE LINKE";1958;"Mecklenburg-Vorpommern";;"31. März 1958";"http://www.dietmar-bartsch.de/";"dietmar.bartsch@bundestag.de"
"Bärbel Bas";"SPD";1968;"Nordrhein-Westfalen";"Duisburg I";"3. Mai 1968";"http://www.baerbelbas.de";"baerbel.bas@bundestag.de"
"Sabine Bätzing-Lichtenthäler";"SPD";1975;"Rheinland-Pfalz";;"13. Februar 1975";"http://www.sabine-baetzing-lichtenthaeler.de/";"sabine.baetzing-lichtenthaeler@bundestag.de"
"Günter Baumann";"CDU";1947;"Sachsen";"Erzgebirgskreis I";"1. August 1947";"http://www.guenter-baumann.de/";"guenter.baumann@bundestag.de"
"Ernst-Reinhard Beck";"CDU";1945;"Baden-Württemberg";"Reutlingen";"31. August 1945";"http://www.ernst-reinhard-beck.de";"ernst-reinhard.beck@bundestag.de"
"Marieluise Beck";"GRÜNE";1952;"Bremen";;;"http://www.marieluisebeck.de";"marieluise.beck@bundestag.de"
"Volker Beck";"GRÜNE";1960;"Nordrhein-Westfalen";;"12. Dezember 1960";"http://www.volkerbeck.de/";"volker.beck@bundestag.de"
"Dirk Becker";"SPD";1966;"Nordrhein-Westfalen";"Lippe I";"4. Mai 1966";"http://www.becker-mdb.de/";"dirk.becker@bundestag.de"
"Uwe Beckmeyer";"SPD";1949;"Bremen";"Bremen II – Bremerhaven";"26. März 1949";"http://www.uwebeckmeyer.de/";"uwe.beckmeyer@bundestag.de"
"Cornelia Behm";"GRÜNE";1951;"Brandenburg";;"20. September 1951";"http://www.cornelia-behm.de";"cornelia.behm@bundestag.de"
"Herbert Behrens";"DIE LINKE";1954;"Niedersachsen";;"30. Mai 1954";"http://www.linksfraktion.de/abgeordnete/herbert-behrens/profil";"herbert.behrens@bundestag.de"
"Manfred Behrens";"CDU";1956;"Sachsen-Anhalt";"Börde – Jerichower Land";"28. Oktober 1956";"http://www.manfred-behrens.info";"manfred.behrens@bundestag.de"
"Veronika Bellmann";"CDU";1960;"Sachsen";"Mittelsachsen";"20. November 1960";"http://www.veronika-bellmann.de/";"veronika.bellmann@bundestag.de"
"Birgitt Bender";"GRÜNE";1956;"Baden-Württemberg";;"28. Dezember 1956";"http://www.biggi-bender.de/";"birgitt.bender@bundestag.de"
"Christoph Bergner";"CDU";1948;"Sachsen-Anhalt";;"24. November 1948";"http://www.bergner.de/";"christoph.bergner@bundestag.de"
"Florian Bernschneider";"FDP";1986;"Niedersachsen";;"15. Dezember 1986";"http://www.florian-bernschneider.de/";"florian.bernschneider@bundestag.de"
"Peter Beyer";"CDU";1970;"Nordrhein-Westfalen";"Mettmann II";"25. Dezember 1970";"http://www.peter-beyer.info";"peter.beyer@bundestag.de"
"Steffen Bilger";"CDU";1979;"Baden-Württemberg";"Ludwigsburg";"16. Februar 1979";"http://www.steffen-bilger.de";"steffen.bilger@bundestag.de"
"Karin Binder";"DIE LINKE";1957;"Baden-Württemberg";;"28. August 1957";"http://www.linksfraktion.de/abgeordnete/karin-binder/profil";"karin.binder@bundestag.de"
"Lothar Binding";"SPD";1950;"Baden-Württemberg";;"1. April 1950";"http://www.lothar-binding.de/";"lothar.binding@bundestag.de"
"Clemens Binninger";"CDU";1962;"Baden-Württemberg";"Böblingen";"24. April 1962";"http://www.clemens-binninger.de";"clemens.binninger@bundestag.de"
"Matthias Birkwald";"DIE LINKE";1961;"Nordrhein-Westfalen";;"28. September 1961";"http://www.matthias-w-birkwald.de/";"matthias.birkwald@bundestag.de"
"Peter Bleser";"CDU";1952;"Rheinland-Pfalz";"Mosel/Rhein-Hunsrück";"23. Juli 1952";"http://www.peter-bleser.de/";"peter.bleser@bundestag.de"
"Heidrun Bluhm";"DIE LINKE";1958;"Mecklenburg-Vorpommern";;"18. Januar 1958";"http://www.heidrun-bluhm.de/";"heidrun.bluhm@bundestag.de"
"Sebastian Blumenthal";"FDP";1974;"Schleswig-Holstein";;"4. August 1974";"http://www.sebastian-blumenthal.de";"sebastian.blumenthal@bundestag.de"
"Steffen Bockhahn";"DIE LINKE";1978;"Mecklenburg-Vorpommern";"Rostock";"29. Dezember 1978";"http://www.bockhahn.de/";"steffen.bockhahn@bundestag.de"
"Claudia Bögel";"FDP";1961;"Nordrhein-Westfalen";;"15. September 1961";"http://www.claudia-boegel.de";"claudia.boegel@bundestag.de"
"Maria Böhmer";"CDU";1950;"Rheinland-Pfalz";"Ludwigshafen/Frankenthal";"23. April 1950";"http://www.maria-boehmer.de";"maria.boehmer@bundestag.de"
"Gerd Bollmann";"SPD";1947;"Nordrhein-Westfalen";"Herne – Bochum II";"28. September 1947";"http://www.gerd-bollmann.de/";"gerd.bollmann@bundestag.de"
"Alexander Bonde";"GRÜNE";1975;"Baden-Württemberg";;"12. Januar 1975";"http://www.alexbonde.de/";"alexander.bonde@bundestag.de"
"Wolfgang Börnsen";"CDU";1942;"Schleswig-Holstein";"Flensburg – Schleswig";"26. April 1942";"http://www.wolfgang-boernsen.de/";"wolfgang.boernsen@bundestag.de"
"Wolfgang Bosbach";"CDU";1952;"Nordrhein-Westfalen";"Rheinisch-Bergischer Kreis";"11. Juni 1952";"http://www.wobo.de/";"wolfgang.bosbach@bundestag.de"
"Nicole Bracht-Bendt";"FDP";1959;"Niedersachsen";;"27. April 1959";"http://www.nicole-bracht-bendt.de";"nicole.bracht-bendt@bundestag.de"
"Norbert Brackmann";"CDU";1954;"Schleswig-Holstein";"Herzogtum Lauenburg – Stormarn-Süd";"30. August 1954";"http://www.bundestag.de/bundestag/abgeordnete17/biografien/B/brackmann_norbert.html";"norbert.brackmann@bundestag.de"
"Klaus Brähmig";"CDU";1957;"Sachsen";"Sächsische Schweiz – Osterzgebirge";"1. August 1957";"http://klaus-braehmig.de/";"klaus.braehmig@bundestag.de"
"Michael Brand";"CDU";1973;"Hessen";"Fulda";"19. November 1973";"http://www.michael-brand.de";"michael.brand@bundestag.de"
"Reinhard Brandl";"CSU";1977;"Bayern";"Ingolstadt";"1. August 1977";"http://www.reinhard-brandl.de";"reinhard.brandl@bundestag.de"
"Klaus Brandner";"SPD";1949;"Nordrhein-Westfalen";;"13. Januar 1949";"http://www.klausbrandner.de/";"klaus.brandner@bundestag.de"
"Helmut Brandt";"CDU";1950;"Nordrhein-Westfalen";"Kreis Aachen";"24. Oktober 1950";"http://www.helmut-brandt.de/";"helmut.brandt@bundestag.de"
"Willi Brase";"SPD";1951;"Nordrhein-Westfalen";;"10. Oktober 1951";"http://www.willi-brase.de/";"willi.brase@bundestag.de"
"Ralf Brauksiepe";"CDU";1967;"Nordrhein-Westfalen";;"14. März 1967";"http://www.ralf-brauksiepe.de/";"ralf.brauksiepe@bundestag.de"
"Helge Braun";"CDU";1972;"Hessen";"Gießen";"18. Oktober 1972";"http://www.helge-braun.de/";"helge.braun@bundestag.de"
"Heike Brehmer";"CDU";1962;"Sachsen-Anhalt";"Harz";"5. November 1962";"http://www.heike-brehmer.de";"heike.brehmer@bundestag.de"
"Klaus Breil";"FDP";1945;"Bayern";;"9. September 1945";"http://www.klaus-breil.de";"klaus.breil@bundestag.de"
"Ralph Brinkhaus";"CDU";1968;"Nordrhein-Westfalen";"Gütersloh";"15. Juni 1968";"http://www.ralph-brinkhaus.de";"ralph.brinkhaus@bundestag.de"
"Bernhard Brinkmann";"SPD";1952;"Niedersachsen";"Hildesheim";"22. Mai 1952";"http://www.bernhard-brinkmann.de/";"bernhard.brinkmann@bundestag.de"
"Rainer Brüderle";"FDP";1945;"Rheinland-Pfalz";;"22. Juni 1945";"http://www.rainer-bruederle.de/";"rainer.bruederle@bundestag.de"
"Angelika Brunkhorst";"FDP";1955;"Niedersachsen";;"9. Oktober 1955";"http://www.angelika-brunkhorst.de/politisch_bundeswehr.htm";"angelika.brunkhorst@bundestag.de"
"Christine Buchholz";"DIE LINKE";1971;"Hessen";;"2. April 1971";"http://www.christinebuchholz.de/";"christine.buchholz@bundestag.de"
"Eva Bulling-Schröter";"DIE LINKE";1956;"Bayern";;"22. Februar 1956";"http://www.bulling-schroeter.de/";"eva.bulling-schroeter@bundestag.de"
"Edelgard Bulmahn";"SPD";1951;"Niedersachsen";"Stadt Hannover II";"4. März 1951";"http://www.edelgard-bulmahn.de/";"edelgard.bulmahn@bundestag.de"
"Marco Bülow";"SPD";1971;"Nordrhein-Westfalen";"Dortmund I";"14. Juni 1971";"http://www.marco-buelow.de/";"marco.buelow@bundestag.de"
"Martina Bunge";"DIE LINKE";1951;"Mecklenburg-Vorpommern";;"18. Mai 1951";"http://www.martina-bunge.de/";"martina.bunge@bundestag.de"
"Ulla Burchardt";"SPD";1954;"Nordrhein-Westfalen";"Dortmund II";"22. April 1954";"http://www.ulla-burchardt.de/";"ulla.burchardt@bundestag.de"
"Ernst Burgbacher";"FDP";1949;"Baden-Württemberg";;"28. Mai 1949";"http://www.ernst-burgbacher.de/";"ernst.burgbacher@bundestag.de"
"Martin Burkert";"SPD";1964;"Bayern";;"14. Oktober 1964";"http://www.martin-burkert.de";"martin.burkert@bundestag.de"
"Marco Buschmann";"FDP";1977;"Nordrhein-Westfalen";;"1. August 1977";"http://www.bundestag.de/bundestag/abgeordnete17/biografien/B/buschmann_marco.html";"marco.buschmann@bundestag.de"
"Cajus Julius Caesar";"CDU";1951;"Nordrhein-Westfalen";;"22. Januar 1951";"http://www.cajuscaesar.de/";"Cajus.Caesar@bundestag.de"
"Sylvia Canel";"FDP";1960;"Hamburg";;"22. Mai 1958";"http://www.sylvia-canel.de";"sylvia.canel@bundestag.de"
"Roland Claus";"DIE LINKE";1954;"Sachsen-Anhalt";;"18. Dezember 1954";"http://www.bundestag.de/bundestag/abgeordnete17/biografien/C/claus_roland.html";"roland.claus@bundestag.de"
"Gitta Connemann";"CDU";1964;"Niedersachsen";"Unterems";"10. Mai 1964";"http://www.gitta-connemann.de/";"gitta.connemann@bundestag.de"
"Viola von Cramon-Taubadel";"GRÜNE";1970;"Niedersachsen";;"23. März 1970";"http://www.violavoncramon.de/";"viola.voncramon@bundestag.de"
"Petra Crone";"SPD";1950;"Nordrhein-Westfalen";;"3. Juli 1950";"http://www.petra-crone.de";"petra.crone@bundestag.de"
"Sevim Dağdelen";"DIE LINKE";1975;"Nordrhein-Westfalen";;"4. September 1975";"http://www.sevimdagdelen.de/";"sevim.dağdelen@bundestag.de"
"Peter Danckert";"SPD";1940;"Brandenburg";"Dahme-Spreewald";"8. Juli 1940";"http://www.peter-danckert.de/";"peter.danckert@bundestag.de"
"Helga Daub";"FDP";1942;"Nordrhein-Westfalen";;"12. Juni 1942";"http://helga-daub.org.liberale.de/";"helga.daub@bundestag.de"
"Leo Dautzenberg";"CDU";1950;"Nordrhein-Westfalen";"Heinsberg";"4. Februar 1950";"http://www.bundestag.de/bundestag/abgeordnete17/biografien/D/dautzenberg_leo.html";"leo.dautzenberg@bundestag.de"
"Diether Dehm";"DIE LINKE";1950;"Niedersachsen";;"3. April 1950";"http://www.bundestag.de/bundestag/abgeordnete17/biografien/D/dehm_diether.html";"diether.dehm@bundestag.de"
"Ekin Deligöz";"GRÜNE";1971;"Bayern";;"21. April 1971";"http://www.ekin.de";"ekin.deligoez@bundestag.de"
"Reiner Deutschmann";"FDP";1953;"Sachsen";;"29. Juni 1953";"http://www.bundestag.de/bundestag/abgeordnete17/biografien/D/deutschmann_reiner.html";"reiner.deutschmann@bundestag.de"
"Heidrun Dittrich";"DIE LINKE";1958;"Niedersachsen";;"23. September 1958";"http://www.heidrundittrich.de";"heidrun.dittrich@bundestag.de"
"Bijan Djir-Sarai";"FDP";1976;"Nordrhein-Westfalen";;"6. Juni 1976";"http://www.bijan-sarai.de";"bijan.djir-sarai@bundestag.de"
"Alexander Dobrindt";"CSU";1970;"Bayern";"Weilheim";"7. Juni 1970";"http://www.alexander-dobrindt.de/";"alexander.dobrindt@bundestag.de"
"Thomas Dörflinger";"CDU";1965;"Baden-Württemberg";"Waldshut";"27. August 1965";"http://www.thomas-doerflinger.de/";"thomas.doerflinger@bundestag.de"
"Patrick Döring";"FDP";1973;"Niedersachsen";;"6. Mai 1973";"http://www.patrick-doering.de/";"patrick.doering@bundestag.de"
"Martin Dörmann";"SPD";1962;"Nordrhein-Westfalen";"Köln I";"30. Juni 1962";"http://www.martin-doermann.de/";"martin.doermann@bundestag.de"
"Katja Dörner";"GRÜNE";1976;"Nordrhein-Westfalen";;"18. Februar 1976";"http://www.bundestag.de/bundestag/abgeordnete17/biografien/D/doerner_katja.html";"katja.doerner@bundestag.de"
"Marie-Luise Dött";"CDU";1953;"Nordrhein-Westfalen";;"20. April 1953";"http://www.marie-luise-doett.de";"marie-luise.doett@bundestag.de"
