,datum,redeID,vorname,nachname,fraktion,name,inhalt_neu
0,,,,,, ,
1,14.03.2018,ID191900100,Dr. Wolfgang,Schäuble,,Dr. Wolfgang Schäuble,liebe kolleginnen und kollegen ich darf sie bitten wieder platz zu nehmen ich eröffne die unterbrochene sitzung wieder ich gebe das von den schriftführerinnen und schriftführern ermittelte ergebnis der wahl bekannt: abgegebene stimmen ungültige stimmen gültige stimmen mit ja haben gestimmt mit nein haben gestimmt enthaltungen frau dr angela merkel hat damit die erforderliche mehrheit von mindestens stimmen erhalten und ist gemäß artikel absatz des grundgesetzes zur bundeskanzlerin gewählt frau abgeordnete dr merkel ich frage sie: nehmen sie die wahl an
2,14.03.2018,ID191900200,Angela,Merkel,CDU/CSU,Angela Merkel,ja herr präsident ich nehme die wahl an frau bundeskanzlerin ich gratuliere ihnen im namen des ganzen hauses zu ihrer wahl ich wünsche ihnen frau bundeskanzlerin von herzen kraft und erfolg und gottes segen bei der bewältigung ihrer großen aufgabe ich werde das ergebnis der wahl unverzüglich dem herrn bundespräsidenten mitteilen um uhr findet die eidesleistung der bundeskanzlerin statt bis dahin unterbreche ich die sitzung liebe kolleginnen und kollegen ich darf sie bitten platz zu nehmen die unterbrochene sitzung ist wieder eröffnet
3,14.03.2018,ID191900300,Dr. Wolfgang,Schäuble,,Dr. Wolfgang Schäuble,eidesleistung der bundeskanzlerin der herr bundespräsident hat mir mit schreiben vom heutigen tage mitgeteilt: gemäß artikel absatz des grundgesetzes für die bundesrepublik deutschland habe ich heute frau abgeordnete dr angela merkel zur bundeskanzlerin ernannt nach artikel absatz des grundgesetzes leistet die bundeskanzlerin bei der amtsübernahme vor dem deutschen bundestag den in artikel des grundgesetzes vorgesehenen eid frau bundeskanzlerin ich bitte sie zur eidesleistung zu mir zu kommen frau bundeskanzlerin ich habe hier die urschrift unseres grundgesetzes in händen und darf sie bitten den in artikel vorgesehenen eid zu sprechen
4,14.03.2018,ID191900400,Angela,Merkel,CDU/CSU,Angela Merkel,ich schwöre dass ich meine kraft dem wohle des deutschen volkes widmen seinen nutzen mehren schaden von ihm wenden das grundgesetz und die gesetze des bundes wahren und verteidigen meine pflichten gewissenhaft erfüllen und gerechtigkeit gegen jedermann üben werde so wahr mir gott helfe ich darf sie bitten wieder platz zu nehmen ich stelle fest dass die frau bundeskanzlerin den vorgeschriebenen eid vor dem deutschen bundestag geleistet hat was ist los wenn sie auf der tribüne bitte keine transparente hochhalten anderenfalls muss ich die saaldiener bitten für ordnung zu sorgen liebe kolleginnen und kollegen jedenfalls hat die frau bundeskanzlerin den vorgeschriebenen eid vor dem deutschen bundestag geleistet frau bundeskanzlerin ich darf ihnen noch einmal alle guten wünsche auf ihren schweren weg mitgeben bevor ich die sitzung unterbreche muss ich noch folgenden sachverhalt ansprechen: der abgeordnete petr bystron hat in der wahlkabine den von ihm ausgefüllten stimmzettel samt seinem wahlausweis fotografiert und dieses foto veröffentlicht er hat damit bewusst gegen den grundsatz der geheimhaltung der wahl verstoßen herr abgeordneter bystron wegen dieser schwerwiegenden verletzung der ordnung und würde des bundestages verhänge ich gegen sie gemäß § unserer geschäftsordnung ein ordnungsgeld in höhe von euro die sitzung wird um uhr mit der bekanntgabe der vom bundespräsidenten ernannten mitglieder der neuen bundesregierung und ihrer vereidigung fortgesetzt bis dahin unterbreche ich die sitzung (unterbrechung von bis uhr) liebe kolleginnen und kollegen ich darf sie bitten platz zu nehmen damit wir die unterbrochene sitzung fortsetzen können
5,14.03.2018,ID191900500,Dr. Wolfgang,Schäuble,,Dr. Wolfgang Schäuble,bekanntgabe der bildung der bundesregierung der herr bundespräsident hat mir hierzu mit schreiben vom heutigen tage mitgeteilt: gemäß artikel absatz des grundgesetzes für die bundesrepublik deutschland habe ich heute auf vorschlag der frau bundeskanzlerin ernannt: herrn olaf scholz zum bundesminister der finanzen herrn horst seehofer zum bundesminister des innern für bau und heimat herrn heiko maas zum bundesminister des auswärtigen herrn peter altmaier zum bundesminister für wirtschaft und energie frau dr katarina barley zur bundesministerin der justiz und für verbraucherschutz herrn hubertus heil zum bundesminister für arbeit und soziales frau dr ursula von der leyen zur bundesministerin der verteidigung frau julia klöckner zur bundesministerin für ernährung und landwirtschaft frau dr franziska giffey zur bundesministerin für familie senioren frauen und jugend herrn jens spahn zum bundesminister für gesundheit herrn andreas scheuer zum bundesminister für verkehr und digitale infrastruktur frau svenja schulze zur bundesministerin für umwelt naturschutz und nukleare sicherheit frau anja karliczek zur bundesministerin für bildung und forschung herrn dr gerd müller zum bundesminister für wirtschaftliche zusammenarbeit und entwicklung sowie herrn dr helge braun zum bundesminister für besondere aufgaben jetzt rufe ich den tagesordnun gspunkt auf:
6,14.03.2018,ID191900600,Dr. Wolfgang,Schäuble,,Dr. Wolfgang Schäuble,eidesleistung der bundesminister nach artikel absatz des grundgesetzes leisten die bundesministerinnen und bundesminister bei der amtsübernahme vor dem deutschen bundestag den in artikel des grundgesetzes vorgesehenen eid die eidesformel lautet: ich schwöre dass ich meine kraft dem wohle des deutschen volkes widmen seinen nutzen mehren schaden von ihm wenden das grundgesetz und die gesetze des bundes wahren und verteidigen meine pflichten gewissenhaft erfüllen und gerechtigkeit gegen jedermann üben werde ich werde nun die bundesministerinnen und bundesminister in der reihenfolge der ministerien zu mir zum verteidigungs- es heißt tatsächlich vereidigungsmikrofon zu diesem mikrofon werde ich die bundesministerinnen und bundesminister in der reihenfolge der ministerien bitten die leistung des eides erfolgt mit den worten ich schwöre es so wahr mir gott helfe oder ich schwöre es ich rufe zunächst auf: herrn bundesminister der finanzen olaf scholz
7,14.03.2018,ID191900700,Olaf,Scholz,SPD,Olaf Scholz,ich schwöre es herr bundesminister des innern für bau und heimat horst seehofer
8,14.03.2018,ID191900800,Horst,Seehofer,CDU/CSU,Horst Seehofer,ich schwöre es so wahr mir gott helfe herr bundesminister des auswärtigen heiko maas
9,14.03.2018,ID191900900,Heiko,Maas,SPD,Heiko Maas,ich schwöre es so wahr mir gott helfe herr bundesminister für wirtschaft und energie peter altmaier
10,14.03.2018,ID191901000,Peter,Altmaier,CDU/CSU,Peter Altmaier,ich schwöre es so wahr mir gott helfe frau bundesministerin der justiz und für verbraucherschutz dr katarina barley
11,14.03.2018,ID191901100,Katarina,Barley,SPD,Katarina Barley,ich schwöre es herr bundesminister für arbeit und soziales hubertus heil
12,14.03.2018,ID191901200,Hubertus,Heil,SPD,Hubertus Heil,herr präsident ich schwöre es so wahr mir gott helfe frau bundesministerin der verteidigung dr ursula von der leyen
